Jahr;Monat;pv;wind_onshore;wind_offshore;biomasse;wasser;sonstige
2020;1;45,49;53,27;7,79;8,35;5,24;0,1
2020;2;45,76;53,4;7,79;8,35;5,24;0,1
2020;3;46,08;53,5;7,79;8,35;5,24;0,1
2020;4;46,43;53,57;7,82;8,35;5,24;0,1
2020;5;46,85;53,66;7,84;8,45;5,25;0,1
2020;6;47,26;53,74;7,87;8,45;5,25;0,1
2020;7;47,64;53,81;7,87;8,45;5,25;0,1
2020;8;47,99;53,93;7,87;8,57;5,25;0,1
2020;9;47,99;53,93;7,87;8,57;5,25;0,1
2020;10;48,72;54,17;7,87;8,67;5,25;0,1
2020;11;49,17;54,35;7,87;8,67;5,25;0,1
2020;12;49,63;54,57;7,87;8,67;5,26;0,1
2021;1;49,98;54,69;7,87;8,77;5,26;0,1
2021;2;50,33;54,88;7,87;8,77;5,26;0,1
2021;3;50,92;55,1;7,87;8,81;5,26;0,1
2021;4;51,46;55,27;7,87;8,81;5,26;0,1
2021;5;51,81;55,35;7,87;8,83;5,26;0,1
2021;6;52,22;55,55;7,87;8,83;5,26;0,1
2021;7;52,68;55,67;7,87;8,87;5,26;0,1
2021;8;53,05;55,79;7,87;8,87;5,26;0,1
2021;9;53,46;55,95;7,87;8,89;5,26;0,1
2021;10;53,85;56,12;7,87;8,89;5,26;0,1
2021;11;54,17;56,23;7,87;8,92;5,26;0,1
2021;12;54,68;56,5;7,87;8,92;5,26;0,1
2022;1;55,12;56,61;7,87;8,94;5,26;0,1
2022;2;55,76;56,77;7,87;8,94;5,3;0,1
2022;3;56,49;56,91;7,87;8,96;5,34;0,1
2022;4;56,92;57,04;7,87;8,96;5,38;0,1
2022;5;57,49;57,26;7,87;8,99;5,38;0,1
2022;6;57,99;57,49;7,87;8,99;5,38;0,1
2022;7;58,43;57,68;7,87;8,99;5,54;0,1
2022;8;59,04;57,84;8,05;8,99;5,59;0,1
2022;9;59,78;58,09;8,05;9,01;5,39;0,1
2022;10;60,34;58,3;8,1;9,01;5,39;0,1
2022;11;60,9;58,58;8,17;9,03;5,39;0,1
2022;12;61,3;58,9;8,22;9,03;5,39;0,1
2023;1;62,19;59;8,25;9,05;5,39;0,1
2023;2;62,99;59,18;8,29;9,05;5,39;0,1
2023;3;64,1;59,52;8,36;9,06;5,39;0,1
2023;4;65,15;59,82;8,43;9,06;5,39;0,1
2023;5;66,33;60,12;8,45;9,08;5,39;0,1
2023;6;67,53;60,51;8,45;9,08;5,39;0,1
2023;7;68,84;60,77;8,45;9,11;5,39;0,1
2023;8;70,04;60,98;8,45;9,11;5,39;0,1
2023;9;71,09;61,41;8,45;9,17;5,39;0,1
2023;10;72,39;61,87;8,45;9,17;5,39;0,1
2023;11;73,62;62,11;8,47;9,22;5,39;0,1
2023;12;74,56;62,5;8,47;9,22;5,39;0,1
2024;1;75,93;62,68;8,47;9,23;5,39;0,1
2024;2;76,94;62,96;8,47;9,23;5,4;0,1
2024;3;78,06;63,21;8,47;9,28;5,4;0,1
2024;4;79,13;63,45;8,47;9,32;5,4;0,1
2024;5;80,07;63,59;8,7;9,32;5,4;0,1
2024;6;81,52;63,82;8,85;9,35;5,4;0,1
2024;7;82,84;64,11;9,04;9,35;5,4;0,1
2024;8;83,71;64,35;9,13;9,36;5,4;0,1
2024;9;84,97;64,60;9,22;9,36;5,4;0,1
2024;10;85,07;64,63;9,22;9,36;5,4;0,1
2024;11;86,58;64,87;9,22;9,39;5,4;0,1
2024;12;89,25;65,79;9,22;9,39;5,4;0,1
