Zeitstempel,Szenario_A,Szenario_B,Szenario_C
00:00-01:00,0.014,0.014,0.014
01:00-02:00,0.010,0.010,0.010
02:00-03:00,0.005,0.005,0.005
03:00-04:00,0.005,0.005,0.005
04:00-05:00,0.005,0.004,0.005
05:00-06:00,0.008,0.007,0.008
06:00-07:00,0.012,0.011,0.012
07:00-08:00,0.020,0.031,0.039
08:00-09:00,0.030,0.099,0.123
09:00-10:00,0.034,0.081,0.103
10:00-11:00,0.034,0.067,0.089
11:00-12:00,0.034,0.063,0.084
12:00-13:00,0.034,0.058,0.084
13:00-14:00,0.039,0.054,0.079
14:00-15:00,0.044,0.049,0.074
15:00-16:00,0.059,0.049,0.069
16:00-17:00,0.094,0.058,0.069
17:00-18:00,0.143,0.076,0.044
18:00-19:00,0.153,0.085,0.034
19:00-20:00,0.099,0.067,0.025
20:00-21:00,0.049,0.040,0.010
21:00-22:00,0.030,0.027,0.005
22:00-23:00,0.025,0.022,0.005
23:00-00:00,0.020,0.018,0.005
