Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.01.2021 00:00;01.01.2021 00:15;1.123,75;307,50;85,00;1.051,00;0,25;53,75;2.034,25;2.898,50;937,25;1.718,75;72,75;410,50
01.01.2021 00:15;01.01.2021 00:30;1.120,25;300,25;88,00;1.015,75;0,25;53,00;2.036,25;2.904,50;872,00;1.735,25;95,00;411,00
01.01.2021 00:30;01.01.2021 00:45;1.119,00;298,00;101,25;946,25;0,25;53,00;2.036,75;2.904,25;829,25;1.737,25;82,00;409,00
01.01.2021 00:45;01.01.2021 01:00;1.118,00;297,25;108,75;915,25;0,25;53,25;2.037,50;2.901,25;805,25;1.731,75;97,50;407,00
01.01.2021 01:00;01.01.2021 01:15;1.113,25;309,25;105,75;919,50;0,25;53,25;2.037,50;2.911,00;785,00;1.683,00;155,75;409,50
01.01.2021 01:15;01.01.2021 01:30;1.112,75;296,25;103,00;898,00;0,25;53,00;2.036,50;2.898,25;758,75;1.667,25;130,75;406,50
01.01.2021 01:30;01.01.2021 01:45;1.112,50;293,75;95,25;867,75;0,25;53,50;2.038,25;2.898,00;744,25;1.667,75;123,25;409,25
01.01.2021 01:45;01.01.2021 02:00;1.114,50;293,50;90,50;843,00;0,25;53,50;2.038,00;2.895,50;756,75;1.670,00;108,75;410,75
01.01.2021 02:00;01.01.2021 02:15;1.111,25;292,50;80,00;826,00;0,25;53,75;2.039,00;2.908,25;776,25;1.655,50;100,00;410,25
01.01.2021 02:15;01.01.2021 02:30;1.110,25;289,25;76,00;813,25;0,25;54,25;2.040,25;2.910,00;769,75;1.648,00;65,00;408,75
01.01.2021 02:30;01.01.2021 02:45;1.110,75;290,75;73,00;794,75;0,25;54,00;2.039,50;2.963,25;767,50;1.647,25;4,50;407,25
01.01.2021 02:45;01.01.2021 03:00;1.108,25;288,50;76,25;764,00;0,25;54,50;2.037,75;2.977,00;753,75;1.635,25;0,50;403,75
01.01.2021 03:00;01.01.2021 03:15;1.106,50;304,75;76,75;741,50;0,25;54,50;2.036,25;3.022,50;731,50;1.609,25;0,50;407,00
01.01.2021 03:15;01.01.2021 03:30;1.104,50;291,75;77,50;705,00;0,25;54,50;2.039,50;3.054,50;717,25;1.608,75;0,50;403,50
01.01.2021 03:30;01.01.2021 03:45;1.106,50;292,25;81,00;671,00;0,25;54,50;2.038,75;3.113,25;707,25;1.599,75;0,50;404,25
01.01.2021 03:45;01.01.2021 04:00;1.107,25;289,00;84,00;651,25;0,25;54,50;2.039,25;3.147,25;696,50;1.578,75;0,50;406,75
01.01.2021 04:00;01.01.2021 04:15;1.107,50;290,00;76,50;642,00;0,25;55,00;2.038,50;3.114,75;683,25;1.583,50;0,25;399,75
01.01.2021 04:15;01.01.2021 04:30;1.108,75;289,00;75,00;619,00;0,25;55,75;2.038,50;3.091,50;675,50;1.587,25;2,25;398,75
01.01.2021 04:30;01.01.2021 04:45;1.107,00;287,75;73,25;606,75;0,25;55,25;2.036,25;3.096,25;674,00;1.590,50;1,75;409,75
01.01.2021 04:45;01.01.2021 05:00;1.107,50;286,50;71,50;594,50;0,25;55,50;2.037,25;3.092,50;680,50;1.571,75;1,75;413,25
01.01.2021 05:00;01.01.2021 05:15;1.110,75;287,00;86,75;568,25;0,25;55,50;2.039,00;3.126,50;681,00;1.596,75;19,00;413,50
01.01.2021 05:15;01.01.2021 05:30;1.116,50;286,75;102,75;536,75;0,25;54,50;2.036,25;3.148,00;676,75;1.610,00;9,75;410,25
01.01.2021 05:30;01.01.2021 05:45;1.113,25;285,50;117,75;519,75;0,25;54,75;2.036,25;3.191,00;688,25;1.609,00;4,25;412,25
01.01.2021 05:45;01.01.2021 06:00;1.110,50;285,00;124,75;494,25;0,25;55,00;2.038,75;3.234,00;690,50;1.609,50;0,50;413,00
01.01.2021 06:00;01.01.2021 06:15;1.119,50;287,00;132,00;504,50;0,25;54,75;2.038,50;3.286,50;711,25;1.619,00;20,75;416,75
01.01.2021 06:15;01.01.2021 06:30;1.123,00;289,50;138,25;499,50;0,25;54,75;2.038,50;3.300,50;698,75;1.616,75;0,50;412,50
01.01.2021 06:30;01.01.2021 06:45;1.123,50;289,75;128,75;508,50;0,25;54,75;2.039,00;3.268,75;710,75;1.616,50;6,00;414,75
01.01.2021 06:45;01.01.2021 07:00;1.125,25;291,00;111,25;496,25;0,25;54,75;2.038,50;3.195,25;715,75;1.611,00;62,50;416,75
01.01.2021 07:00;01.01.2021 07:15;1.135,00;288,75;105,00;477,25;0,25;54,75;2.037,75;3.121,75;713,50;1.624,00;122,00;417,50
01.01.2021 07:15;01.01.2021 07:30;1.141,00;288,00;99,75;494,00;0,25;54,75;2.038,25;3.108,25;725,00;1.627,25;251,75;414,25
01.01.2021 07:30;01.01.2021 07:45;1.143,50;289,00;95,75;497,50;0,25;54,75;2.038,25;3.113,75;749,00;1.629,75;272,25;416,00
01.01.2021 07:45;01.01.2021 08:00;1.141,75;288,75;88,75;497,25;0,50;54,75;2.038,50;3.128,75;764,50;1.658,00;268,00;413,25
01.01.2021 08:00;01.01.2021 08:15;1.154,50;286,75;95,50;504,75;5,75;55,00;2.038,75;3.130,50;772,75;1.713,50;16,00;411,50
01.01.2021 08:15;01.01.2021 08:30;1.159,50;286,00;94,00;512,00;20,75;54,75;2.039,25;3.111,25;770,50;1.718,50;3,50;411,00
01.01.2021 08:30;01.01.2021 08:45;1.165,25;284,75;87,00;527,00;52,75;54,75;2.040,25;3.105,50;771,25;1.732,00;9,25;413,50
01.01.2021 08:45;01.01.2021 09:00;1.167,00;293,00;83,00;526,25;112,50;54,75;2.039,25;3.088,50;772,75;1.770,00;39,75;412,50
01.01.2021 09:00;01.01.2021 09:15;1.159,50;285,75;67,50;540,75;190,75;54,75;2.039,75;3.055,75;771,75;1.828,50;0,75;412,00
01.01.2021 09:15;01.01.2021 09:30;1.161,00;287,00;56,50;542,25;278,00;54,75;2.039,75;3.049,75;768,50;1.841,75;47,00;413,25
01.01.2021 09:30;01.01.2021 09:45;1.168,75;294,00;54,50;525,00;382,00;55,25;2.040,00;3.054,50;775,00;1.863,50;34,25;413,50
01.01.2021 09:45;01.01.2021 10:00;1.166,00;294,50;69,75;512,25;484,00;55,50;2.040,50;3.009,50;769,75;1.890,00;42,75;413,75
01.01.2021 10:00;01.01.2021 10:15;1.167,00;288,00;98,00;508,75;589,25;55,50;2.040,75;2.963,50;767,00;1.974,00;11,75;416,75
01.01.2021 10:15;01.01.2021 10:30;1.170,25;289,00;113,50;487,25;687,00;55,50;2.040,50;2.946,50;765,00;1.982,50;11,75;418,25
01.01.2021 10:30;01.01.2021 10:45;1.170,00;289,25;116,00;462,00;787,50;55,50;2.040,00;2.847,00;762,75;1.997,25;17,25;416,50
01.01.2021 10:45;01.01.2021 11:00;1.175,00;290,25;119,25;454,25;873,25;55,50;2.040,00;2.850,75;763,00;2.015,75;55,25;412,00
